survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,group_survival_rate,group_mean_fare,group_median_age,group_passenger_count,log_fare_zscore
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Unknown,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.13322852057373055
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Unknown,Queenstown,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.457519539438721
1,2,male,30.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,yes,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3336984726090332
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.01838583697289204
1,3,female,21.5,0,0,7.225,C,Third,woman,False,Unknown,Cherbourg,yes,True,0.5,16.118809722222224,21.5,144,-0.8828741679067217
0,2,male,35.0,0,0,26.0,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,0.3444394801955362
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3336984726090332
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.7865550587251358
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,0.36885245901639346,67.22612704918032,40.0,122,0.6557188297748954
0,3,female,8.0,3,1,21.075,S,Third,child,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,0.13649913806595457
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,0.5322916934007406
0,3,male,25.0,0,0,7.225,C,Third,man,True,Unknown,Cherbourg,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8828741679067217
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,2.6987007794454887
1,3,female,21.5,0,0,7.8792,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8038521494426432
0,3,male,25.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
0,1,male,40.0,0,0,27.7208,C,First,man,True,Unknown,Cherbourg,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.4082334475616762
1,1,female,35.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,0.9680851063829787,106.12579787234043,35.0,94,2.097794920021772
1,3,female,21.5,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8189865811572414
0,2,male,66.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.5368057694182641
0,1,male,28.0,1,0,82.1708,C,First,man,True,Unknown,Cherbourg,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.5060857797883969
0,1,male,42.0,1,0,52.0,S,First,man,True,Unknown,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.0408277503255374
1,3,male,25.0,0,0,7.2292,C,Third,man,True,Unknown,Cherbourg,yes,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8823470582632056
0,3,male,21.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.01838583697289204
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Unknown,Cherbourg,yes,False,0.5,16.118809722222224,21.5,144,-0.47227211715402734
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.6331972544104211
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Unknown,Southampton,no,False,0.9210526315789473,21.97012105263158,28.0,76,0.1329851701219792
0,3,male,25.0,0,0,7.8958,C,Third,man,True,Unknown,Cherbourg,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Unknown,Cherbourg,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.8147822510349934
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8038521494426432
0,3,male,25.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,25.0,1,0,15.5,Q,Third,man,True,Unknown,Queenstown,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.16405229962564447
1,3,female,21.5,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8189865811572414
0,3,male,25.0,2,0,21.6792,C,Third,man,True,Unknown,Cherbourg,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.1643797141666741
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.0293120756270656
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.7678594338107121
0,3,male,21.0,0,0,7.8,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8131032608653792
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,0.9680851063829787,106.12579787234043,35.0,94,1.4362199751817062
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.3444394801955362
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.2189504454470093
1,1,male,40.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,0.36885245901639346,67.22612704918032,40.0,122,0.6557188297748954
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Unknown,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.5368057694182641
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Unknown,Cherbourg,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8823470582632056
1,2,female,5.0,1,2,27.75,S,Second,child,False,Unknown,Southampton,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.40928266156909443
0,3,male,11.0,5,2,46.9,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.936361092700485
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Unknown,Cherbourg,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8823470582632056
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,0.9680851063829787,106.12579787234043,35.0,94,1.4787785499834798
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.5221510751129648
0,3,male,4.0,3,2,27.9,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.4146557174979072
0,1,male,40.0,0,0,27.7208,C,First,man,True,Unknown,Cherbourg,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.4082334475616762
1,3,male,25.0,1,1,15.2458,C,Third,man,True,Unknown,Cherbourg,yes,False,0.13544668587896252,12.661632564841499,25.0,347,-0.1800831698720664
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.5368057694182641
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7718965778779472
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.798539974052802
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.7165619336211217
0,2,male,32.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.5368057694182641
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,0.936361092700485
0,2,male,21.0,0,0,73.5,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,1.3924082286355355
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Unknown,Cherbourg,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.23166125968823223
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Unknown,Southampton,yes,True,0.13544668587896252,12.661632564841499,25.0,347,1.1248955097361595
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.830854756854953
0,3,male,25.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
0,3,male,25.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
1,2,male,0.83,0,2,29.0,S,Second,child,False,Unknown,Southampton,yes,False,0.1574074074074074,19.74178240740741,30.0,108,0.4532263111425748
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Unknown,Southampton,yes,True,0.5,16.118809722222224,21.5,144,-0.37316263612134226
0,3,male,22.0,0,0,9.0,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.6811127586453682
1,3,male,29.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,yes,True,0.13544668587896252,12.661632564841499,25.0,347,-0.6307359423566569
1,3,female,21.5,0,0,7.7875,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8145709511162281
0,1,male,28.0,0,0,47.1,S,First,man,True,Unknown,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.940663265248102
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Unknown,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.5368057694182641
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.1423794216910609
0,3,male,16.0,1,3,34.375,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.6233938271906204
0,3,male,25.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,0.9680851063829787,106.12579787234043,35.0,94,2.6987007794454887
0,3,male,24.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,29.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.806763380796033
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.2056809915054134
0,3,male,26.0,1,2,20.575,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.11284358066326507
0,3,male,59.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8797405693934278
0,3,male,25.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.6315110816648204
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,0.36885245901639346,67.22612704918032,40.0,122,1.241316266924983
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Unknown,Southampton,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.2228261499229997
0,2,male,34.0,1,0,26.0,S,Second,man,True,Unknown,Southampton,no,False,0.1574074074074074,19.74178240740741,30.0,108,0.3444394801955362
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Unknown,Southampton,no,True,0.5,16.118809722222224,21.5,144,-0.8019236166026618
0,3,male,25.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.443609675522841
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7174492400289059
0,3,male,37.0,2,0,7.925,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.798539974052802
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Unknown,Southampton,yes,True,0.5,16.118809722222224,21.5,144,-0.830854756854953
1,3,male,25.0,0,0,7.775,S,Third,man,True,Unknown,Southampton,yes,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8160407306065733
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
1,3,female,21.5,1,0,24.15,Q,Third,woman,False,Unknown,Queenstown,yes,False,0.5,16.118809722222224,21.5,144,0.2711522804976662
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,1.0408277503255374
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Unknown,Cherbourg,no,False,0.5,16.118809722222224,21.5,144,-0.23166125968823223
0,3,male,22.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.5992616204389827
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Unknown,Cherbourg,no,True,0.5,16.118809722222224,21.5,144,-0.23138736843472296
0,3,male,21.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.798539974052802
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8189865811572414
0,2,male,29.0,1,0,21.0,S,Second,man,True,Unknown,Southampton,no,False,0.1574074074074074,19.74178240740741,30.0,108,0.1329851701219792
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,0.36885245901639346,67.22612704918032,40.0,122,2.6363132839087284
0,3,female,2.0,4,2,31.275,S,Third,child,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,0.5286989276421437
0,2,male,21.0,2,0,73.5,S,Second,man,True,Unknown,Southampton,no,False,0.1574074074074074,19.74178240740741,30.0,108,1.3924082286355355
0,3,male,25.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Unknown,Cherbourg,no,False,0.1574074074074074,19.74178240740741,30.0,108,0.4894379098126231
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.3336984726090332
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.443609675522841
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Unknown,Cherbourg,yes,False,0.13544668587896252,12.661632564841499,25.0,347,-0.47227211715402734
0,3,male,25.0,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8189865811572414
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Unknown,Southampton,yes,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8933844909173265
1,3,female,21.5,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,0.5,16.118809722222224,21.5,144,0.19484336402527688
0,3,male,45.0,0,0,6.975,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.9147445967366699
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Unknown,Cherbourg,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8019236166026618
0,3,male,20.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.9050797531497122
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,-0.2286058134653583
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.3444394801955362
0,2,male,25.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3336984726090332
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Unknown,Cherbourg,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.19287328396337328
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,0.9680851063829787,106.12579787234043,35.0,94,0.3552168481314282
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.0620380556287106
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.6589770356240848
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,0.36885245901639346,67.22612704918032,40.0,122,1.4685301291949246
0,3,female,21.5,0,2,15.2458,C,Third,woman,False,Unknown,Cherbourg,no,False,0.5,16.118809722222224,21.5,144,-0.1800831698720664
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Unknown,Southampton,yes,True,0.5,16.118809722222224,21.5,144,-0.8189865811572414
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.1423794216910609
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Unknown,Queenstown,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.9442940832331417
0,2,male,18.0,0,0,11.5,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.4507125974257932
0,2,male,19.0,1,1,36.75,S,Second,man,True,Unknown,Southampton,no,False,0.1574074074074074,19.74178240740741,30.0,108,0.6904870950626278
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Unknown,Southampton,yes,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8135961720983267
0,3,female,9.0,2,2,34.375,S,Third,child,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,0.6233938271906204
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,0.1574074074074074,19.74178240740741,30.0,108,0.3444394801955362
0,2,male,42.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3336984726090332
0,2,male,51.0,0,0,12.525,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3693384839068557
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,0.9680851063829787,106.12579787234043,35.0,94,1.2920564383571118
0,3,male,55.5,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,40.5,0,2,14.5,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.2286058134653583
0,3,male,25.0,0,0,7.3125,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8719479292525482
0,1,male,51.0,0,1,61.3792,C,First,man,True,Unknown,Cherbourg,no,False,0.36885245901639346,67.22612704918032,40.0,122,1.2090665177433995
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Unknown,Queenstown,yes,True,0.5,16.118809722222224,21.5,144,-0.8209591021193487
0,3,male,30.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,25.0,0,0,8.6625,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7165619336211217
0,3,male,25.0,8,2,69.55,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,1.3361591794576348
0,3,male,44.0,0,1,16.1,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.12717266791993012
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Unknown,Southampton,yes,True,0.9210526315789473,21.97012105263158,28.0,76,-0.1485253917280838
0,3,male,26.0,0,0,7.775,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.8160407306065733
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7165619336211217
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.7678594338107121
1,3,male,9.0,0,2,20.525,S,Third,child,False,Unknown,Southampton,yes,False,0.13544668587896252,12.661632564841499,25.0,347,0.11044794172866994
1,1,female,35.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,0.9680851063829787,106.12579787234043,35.0,94,1.0976780669265336
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,0.4146557174979072
0,1,male,40.0,0,0,25.925,S,First,man,True,Unknown,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.34156737843370105
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,1.1248955097361595
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.5975333003696796
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Unknown,Queenstown,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.457519539438721
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.48145578049281285
0,3,male,21.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.798539974052802
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,0.36885245901639346,67.22612704918032,40.0,122,0.5100012756239033
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.806763380796033
0,3,male,25.0,3,1,25.4667,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.32384119624754826
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,0.9680851063829787,106.12579787234043,35.0,94,0.4432836100273541
0,2,male,30.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.3336984726090332
0,3,male,36.0,0,0,0.0,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-3.0585777291682934
0,3,female,21.5,8,2,69.55,S,Third,woman,False,Unknown,Southampton,no,False,0.5,16.118809722222224,21.5,144,1.3361591794576348
0,2,male,30.0,0,0,15.05,C,Second,man,True,Unknown,Cherbourg,no,True,0.1574074074074074,19.74178240740741,30.0,108,-0.19260305647698941
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.5322916934007406
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,0.1574074074074074,19.74178240740741,30.0,108,0.750263780890198
1,3,female,4.0,0,2,22.025,S,Third,child,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,0.1800041951014629
0,1,male,40.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,1.0011105492142125
1,3,female,21.5,1,0,15.5,Q,Third,woman,False,Unknown,Queenstown,yes,False,0.5,16.118809722222224,21.5,144,-0.16405229962564447
1,1,male,45.0,0,0,26.55,S,First,man,True,Unknown,Southampton,yes,True,0.36885245901639346,67.22612704918032,40.0,122,0.36526093570402607
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Unknown,Queenstown,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.16405229962564447
